Ni,Ti,Al,FCC
16.0,2.0,6.0,11.08949933203789
17.0,2.0,6.0,12.297972182232364
18.0,2.0,6.0,13.49244868785761
19.0,2.0,6.0,14.6752220489332
20.0,2.0,6.0,15.848551258568666
15.0,3.0,6.0,5.352446906213813
16.0,3.0,6.0,6.681757448935569
17.0,3.0,6.0,7.9790649518417895
18.0,3.0,6.0,9.248808461348576
19.0,3.0,6.0,10.49440944747386
20.0,3.0,6.0,11.718761857062637
15.0,4.0,6.0,0.11870794744489961
16.0,4.0,6.0,1.6924538286701971
17.0,4.0,6.0,3.189900392910487
18.0,4.0,6.0,4.625859396544346
19.0,4.0,6.0,6.010892604244884
20.0,4.0,6.0,7.3534301756652765
15.0,5.0,6.0,0.0
16.0,5.0,6.0,0.0
17.0,5.0,6.0,0.0
18.0,5.0,6.0,0.0
19.0,5.0,6.0,0.7071295566446189
20.0,5.0,6.0,2.3421338596013785
15.0,6.0,6.0,0.0
16.0,6.0,6.0,0.0
17.0,6.0,6.0,0.0
18.0,6.0,6.0,0.0
19.0,6.0,6.0,0.0
20.0,6.0,6.0,0.0
15.0,7.0,6.0,0.0
16.0,7.0,6.0,0.0
17.0,7.0,6.0,0.0
18.0,7.0,6.0,0.0
19.0,7.0,6.0,0.0
20.0,7.0,6.0,0.0
15.0,8.0,6.0,0.0
16.0,8.0,6.0,0.0
17.0,8.0,6.0,0.0
18.0,8.0,6.0,0.0
19.0,8.0,6.0,0.0
20.0,8.0,6.0,0.0
15.0,9.0,6.0,0.0
16.0,9.0,6.0,0.0
17.0,9.0,6.0,0.05106024752532207
18.0,9.0,6.0,0.3394745820539065
19.0,9.0,6.0,0.6278893774367522
20.0,9.0,6.0,0.9163122305822967
15.0,10.0,6.0,1.8751489800155323
16.0,10.0,6.0,2.163562230275268
17.0,10.0,6.0,2.452018829476466
18.0,10.0,6.0,2.740401874415685
19.0,10.0,6.0,3.028721428242482
20.0,10.0,6.0,3.3171583106371556
15.0,11.0,6.0,4.276104259161568
16.0,11.0,6.0,4.564375241757164
17.0,11.0,6.0,4.85297201014875
18.0,11.0,6.0,5.141309091887922
19.0,11.0,6.0,5.429760769964023
20.0,11.0,6.0,5.718144114827757
15.0,12.0,6.0,6.676873712870905
16.0,12.0,6.0,6.965300706012964
17.0,12.0,6.0,7.253840092628448
18.0,12.0,6.0,7.542119442245959
19.0,12.0,6.0,7.830524068823612
20.0,12.0,6.0,8.119053803161043
15.0,13.0,6.0,9.077899404398643
16.0,13.0,6.0,9.366271000272185
17.0,13.0,6.0,9.654787838560107
18.0,13.0,6.0,9.943220172268145
19.0,13.0,6.0,10.23156644715535
20.0,13.0,6.0,10.519865654644569
15.0,14.0,6.0,11.478767809546651
16.0,14.0,6.0,11.767298880575373
17.0,14.0,6.0,12.055571230351212
18.0,14.0,6.0,12.343947691208143
19.0,14.0,6.0,12.632475232996153
20.0,14.0,6.0,12.920912459471978
15.0,15.0,6.0,13.879617127370434
16.0,15.0,6.0,14.168122160818228
17.0,15.0,6.0,14.456534782625525
18.0,15.0,6.0,14.744910494740731
19.0,15.0,6.0,15.03338625372006
20.0,15.0,6.0,15.321796579177787
15.0,1.0,7.0,15.02206649626162
16.0,1.0,7.0,16.21829553261974
17.0,1.0,7.0,17.39982936655202
18.0,1.0,7.0,18.568819969598177
19.0,1.0,7.0,19.727349001305345
20.0,1.0,7.0,20.87607694805815
15.0,2.0,7.0,10.793655663859873
16.0,2.0,7.0,12.072247172274198
17.0,2.0,7.0,13.324775598961578
18.0,2.0,7.0,14.554312481088969
19.0,2.0,7.0,15.763430815936664
20.0,2.0,7.0,16.954396303488917
15.0,3.0,7.0,6.118341195089347
