Ni,Ti,Al,Ni3Ti
16.0,4.0,3.0,18.708497098835288
17.0,4.0,3.0,18.7089547969952
18.0,4.0,3.0,18.70937755907545
19.0,4.0,3.0,18.709799923678613
20.0,4.0,3.0,18.70834477306942
15.0,5.0,3.0,18.773402003877518
16.0,5.0,3.0,20.13476181847095
17.0,5.0,3.0,21.496691679296195
18.0,5.0,3.0,22.85734342728989
19.0,5.0,3.0,23.37841231387379
20.0,5.0,3.0,23.363761530539552
15.0,6.0,3.0,18.44379015088487
16.0,6.0,3.0,19.804199016179695
17.0,6.0,3.0,21.1666657410647
18.0,6.0,3.0,22.527856828299804
19.0,6.0,3.0,23.889623540073423
20.0,6.0,3.0,25.251918387870205
15.0,7.0,3.0,18.112271884517376
16.0,7.0,3.0,19.474315903900983
17.0,7.0,3.0,20.83545791838256
18.0,7.0,3.0,22.197181845644614
19.0,7.0,3.0,23.557590779251093
20.0,7.0,3.0,24.920428307710537
15.0,8.0,3.0,17.778876593308336
16.0,8.0,3.0,19.13958276044028
17.0,8.0,3.0,20.501248943737174
18.0,8.0,3.0,21.863461956128287
19.0,8.0,3.0,23.224401113999395
20.0,8.0,3.0,24.587777326501126
15.0,9.0,3.0,17.443752653176738
16.0,9.0,3.0,18.80552795054174
17.0,9.0,3.0,20.16767331419866
18.0,9.0,3.0,21.528547311116235
19.0,9.0,3.0,22.890010128323066
20.0,9.0,3.0,24.252060942219313
15.0,10.0,3.0,17.105964933219457
16.0,10.0,3.0,18.467465944930325
17.0,10.0,3.0,19.829226077025265
18.0,10.0,3.0,21.19061497291348
19.0,10.0,3.0,22.552556241786633
20.0,10.0,3.0,23.915130496907818
15.0,11.0,3.0,16.765132737742793
16.0,11.0,3.0,18.1267934588809
17.0,11.0,3.0,19.48771730773537
18.0,11.0,3.0,20.849576405546458
19.0,11.0,3.0,22.21207177814029
20.0,11.0,3.0,23.57325879338458
15.0,12.0,3.0,16.42034250906411
16.0,12.0,3.0,17.78190413146488
17.0,12.0,3.0,19.143138039183434
18.0,12.0,3.0,20.505539260560095
19.0,12.0,3.0,21.866637785027233
20.0,12.0,3.0,23.22833763867943
15.0,13.0,3.0,16.07079951131398
16.0,13.0,3.0,17.43228892555668
17.0,13.0,3.0,18.79360729054928
18.0,13.0,3.0,20.156506704489743
19.0,13.0,3.0,21.51810663105565
20.0,13.0,3.0,22.878444011560735
15.0,14.0,3.0,15.714985483147503
16.0,14.0,3.0,17.07639637949632
17.0,14.0,3.0,18.437829303872707
18.0,14.0,3.0,19.79875142671332
19.0,14.0,3.0,21.160849431264705
20.0,14.0,3.0,22.52168751626681
15.0,15.0,3.0,15.350837619176517
16.0,15.0,3.0,16.711759953403604
17.0,15.0,3.0,18.072927230523067
18.0,15.0,3.0,19.43415139603771
19.0,15.0,3.0,20.794869485597637
20.0,15.0,3.0,22.156207451417256
15.0,1.0,4.0,4.677349260650093
16.0,1.0,4.0,4.67739749803693
17.0,1.0,4.0,4.677251465352009
18.0,1.0,4.0,4.677291028762929
19.0,1.0,4.0,4.677330555210555
20.0,1.0,4.0,4.677361378231852
15.0,2.0,4.0,9.312050418260995
16.0,2.0,4.0,9.343961147863467
17.0,2.0,4.0,9.354655862921286
18.0,2.0,4.0,9.354566664685253
19.0,2.0,4.0,9.354645851745675
20.0,2.0,4.0,9.354556741438538
15.0,3.0,4.0,13.915557932117684
16.0,3.0,4.0,13.90907922744719
17.0,3.0,4.0,13.909840215627
18.0,3.0,4.0,13.91602198431924
19.0,3.0,4.0,13.931284578548514
20.0,3.0,4.0,13.963262301664015
15.0,4.0,4.0,18.70240190196448
16.0,4.0,4.0,18.642047616560596
17.0,4.0,4.0,18.597783225974847
18.0,4.0,4.0,18.567688193583855
19.0,4.0,4.0,18.5501010496121
20.0,4.0,4.0,18.542770170261488
15.0,5.0,4.0,18.76593422203614
16.0,5.0,4.0,20.128498059825016
17.0,5.0,4.0,21.489834904735496
18.0,5.0,4.0,22.853601812758743
19.0,5.0,4.0,23.35044131886337
20.0,5.0,4.0,23.27801781608445
15.0,6.0,4.0,18.42927506875268
16.0,6.0,4.0,19.79199413182437
17.0,6.0,4.0,21.153788604261432
18.0,6.0,4.0,22.518059315316393
19.0,6.0,4.0,23.88102094167462
20.0,6.0,4.0,25.24276196719842
15.0,7.0,4.0,18.090536121444856
16.0,7.0,4.0,19.45239420570171
17.0,7.0,4.0,20.816551331382563
18.0,7.0,4.0,22.17944660923167
19.0,7.0,4.0,23.541037729669227
20.0,7.0,4.0,24.90515351287443
15.0,8.0,4.0,17.74873888661436
16.0,8.0,4.0,19.11164006067068
17.0,8.0,4.0,20.474408865238914
18.0,8.0,4.0,21.83775470972703
19.0,8.0,4.0,23.199881526138295
20.0,8.0,4.0,24.56258033569547
15.0,9.0,4.0,17.403122137304063
16.0,9.0,4.0,18.766122421352666
17.0,9.0,4.0,20.129183087051057
18.0,9.0,4.0,21.49113662021305
19.0,9.0,4.0,22.855587161217038
20.0,9.0,4.0,24.218777857224627
15.0,10.0,4.0,17.053140460678772
16.0,10.0,4.0,18.416047425173158
17.0,10.0,4.0,19.778982854324816
18.0,10.0,4.0,21.14141436946395
19.0,10.0,4.0,22.504470993547855
20.0,10.0,4.0,23.868151862948913
15.0,11.0,4.0,16.697235934362876
16.0,11.0,4.0,18.059854353275355
17.0,11.0,4.0,19.421941779420884
18.0,11.0,4.0,20.784810317406478
19.0,11.0,4.0,22.148346266857533
20.0,11.0,4.0,23.51058522304745
15.0,12.0,4.0,16.33352737059353
16.0,12.0,4.0,17.69600888635329
17.0,12.0,4.0,19.05799537003818
18.0,12.0,4.0,20.42133633299235
19.0,12.0,4.0,21.78346328202671
20.0,12.0,4.0,23.146183943808044
15.0,13.0,4.0,15.959649879986978
16.0,13.0,4.0,17.321453573955857
17.0,13.0,4.0,18.68352371586353
18.0,13.0,4.0,20.045254941843428
19.0,13.0,4.0,21.407814135581564
20.0,13.0,4.0,22.769122682435327
15.0,14.0,4.0,15.570912607001677
16.0,14.0,4.0,16.931628029494757
17.0,14.0,4.0,18.29245654710491
18.0,14.0,4.0,19.652763314841813
19.0,14.0,4.0,21.013905815916367
20.0,14.0,4.0,22.373759824460187
15.0,15.0,4.0,15.159755268524814
16.0,15.0,4.0,16.518492648873128
17.0,15.0,4.0,17.877097091817667
18.0,15.0,4.0,19.236166420146393
19.0,15.0,4.0,20.593955062909654
20.0,15.0,4.0,21.95054023792067
15.0,1.0,5.0,4.436634649844544
16.0,1.0,5.0,4.458593947805213
17.0,1.0,5.0,4.4825866729653825
18.0,1.0,5.0,4.513490066312028
19.0,1.0,5.0,4.545488597884391
20.0,1.0,5.0,4.5774575379598375
