Ni,Ti,Al,T_Ni3Ti
16.0,11.0,4.0,769.15
17.0,11.0,4.0,776.15
18.0,11.0,4.0,782.15
19.0,11.0,4.0,787.15
20.0,11.0,4.0,792.15
15.0,12.0,4.0,746.15
16.0,12.0,4.0,754.15
17.0,12.0,4.0,762.15
18.0,12.0,4.0,768.15
19.0,12.0,4.0,775.15
20.0,12.0,4.0,781.15
15.0,13.0,4.0,726.15
16.0,13.0,4.0,736.15
17.0,13.0,4.0,745.15
18.0,13.0,4.0,753.15
19.0,13.0,4.0,760.15
20.0,13.0,4.0,767.15
15.0,14.0,4.0,702.15
16.0,14.0,4.0,714.15
17.0,14.0,4.0,724.15
18.0,14.0,4.0,734.15
19.0,14.0,4.0,743.15
20.0,14.0,4.0,751.15
15.0,15.0,4.0,672.15
16.0,15.0,4.0,686.15
17.0,15.0,4.0,700.15
18.0,15.0,4.0,712.15
19.0,15.0,4.0,723.15
20.0,15.0,4.0,733.15
15.0,1.0,5.0,788.15
16.0,1.0,5.0,783.15
17.0,1.0,5.0,778.15
15.0,2.0,5.0,802.15
16.0,2.0,5.0,805.15
17.0,2.0,5.0,808.15
18.0,2.0,5.0,811.15
19.0,2.0,5.0,814.15
20.0,2.0,5.0,817.15
15.0,3.0,5.0,794.15
16.0,3.0,5.0,797.15
17.0,3.0,5.0,801.15
18.0,3.0,5.0,804.15
19.0,3.0,5.0,808.15
20.0,3.0,5.0,811.15
15.0,4.0,5.0,785.15
16.0,4.0,5.0,789.15
17.0,4.0,5.0,793.15
18.0,4.0,5.0,797.15
19.0,4.0,5.0,800.15
20.0,4.0,5.0,804.15
15.0,5.0,5.0,775.15
16.0,5.0,5.0,779.15
17.0,5.0,5.0,784.15
18.0,5.0,5.0,788.15
19.0,5.0,5.0,792.15
20.0,5.0,5.0,796.15
15.0,6.0,5.0,763.15
16.0,6.0,5.0,769.15
17.0,6.0,5.0,774.15
18.0,6.0,5.0,779.15
19.0,6.0,5.0,783.15
20.0,6.0,5.0,788.15
15.0,7.0,5.0,750.15
16.0,7.0,5.0,756.15
17.0,7.0,5.0,762.15
18.0,7.0,5.0,768.15
19.0,7.0,5.0,773.15
20.0,7.0,5.0,778.15
15.0,8.0,5.0,734.15
