Ni,Ti,Al,Ni3Ti,Laves,FCC,T_Ni3Ti
17.0,11.0,2.0,19.53331338630378,22.822726315672824,0.0,870.15
18.0,11.0,2.0,20.893907758880097,21.850176023511647,0.0,871.15
19.0,11.0,2.0,22.25326279701002,20.8767342691021,0.0,872.15
20.0,11.0,2.0,23.614989358131165,19.904167850121173,0.0,873.15
15.0,12.0,2.0,16.478846638126416,28.350763624513014,0.0,863.15
16.0,12.0,2.0,17.83923643692776,27.37692690664046,0.0,865.15
17.0,12.0,2.0,19.20038774460654,26.404001761130086,0.0,867.15
18.0,12.0,2.0,20.559672790745832,25.4319398834354,0.0,868.15
19.0,12.0,2.0,21.921378010238975,24.458942465854697,0.0,870.15
20.0,12.0,2.0,23.281805351323793,23.48685814780058,0.0,871.15
15.0,13.0,2.0,16.143905279791092,31.93505790188209,0.0,859.15
16.0,13.0,2.0,17.50426368085422,30.961738098769096,0.0,861.15
17.0,13.0,2.0,18.864428480636214,29.989271678528347,0.0,863.15
18.0,13.0,2.0,20.226096683742448,29.01586454941791,0.0,865.15
19.0,13.0,2.0,21.586489423342137,28.04336920283081,0.0,867.15
20.0,13.0,2.0,22.947458793750414,27.069934055198242,0.0,868.15
15.0,14.0,2.0,15.805938070637888,35.5214248694557,0.0,854.15
16.0,14.0,2.0,17.166411363319874,34.5485772640765,0.0,857.15
17.0,14.0,2.0,18.526945618808295,33.57484605419932,0.0,859.15
18.0,14.0,2.0,19.887660041775028,32.60196112621921,0.0,861.15
19.0,14.0,2.0,21.24854681077112,31.629926705492544,0.0,863.15
20.0,14.0,2.0,22.608199294640492,30.65700735568022,0.0,865.15
15.0,15.0,2.0,15.46437788044156,39.10981447956224,0.0,848.15
16.0,15.0,2.0,16.824619870860236,38.13751599369179,0.0,851.15
17.0,15.0,2.0,18.185079643023773,37.16426594394038,0.0,854.15
18.0,15.0,2.0,19.54612849164087,36.19192365861906,0.0,857.15
19.0,15.0,2.0,20.905722748925186,35.21863073737383,0.0,859.15
20.0,15.0,2.0,22.265865008900775,34.24618120460279,0.0,861.15
15.0,1.0,3.0,4.677267271627789,0.0,17.199484612825493,867.15
16.0,1.0,3.0,4.677263491293629,0.0,18.781438654894053,864.15
17.0,1.0,3.0,4.677259714527582,0.0,20.366490319903193,862.15
18.0,1.0,3.0,4.677255941324601,0.0,21.95738838679363,859.15
19.0,1.0,3.0,4.677243590919598,0.0,23.550412228529076,856.15
20.0,1.0,3.0,4.677231252200446,0.0,25.147429879122168,854.15
15.0,2.0,3.0,9.354593438234682,0.0,11.381741126741375,866.15
16.0,2.0,3.0,9.354603051342115,0.0,12.942717869544177,867.15
17.0,2.0,3.0,9.354612655396744,0.0,14.509029978535523,868.15
18.0,2.0,3.0,9.354622250411348,0.0,16.08066992067213,869.15
19.0,2.0,3.0,9.354614646767192,0.0,17.65723021966108,870.15
20.0,2.0,3.0,9.354607050301308,0.0,19.23744487647371,871.15
15.0,3.0,3.0,14.031927036561012,0.0,5.666984449537985,863.15
16.0,3.0,3.0,14.031967324911438,0.0,7.1974402547949135,864.15
17.0,3.0,3.0,14.031981724728727,0.0,8.736021812420553,865.15
18.0,3.0,3.0,14.032021949490392,0.0,10.282010440739137,1217.15
19.0,3.0,3.0,14.032036310026669,0.0,11.834992573451055,1201.15
20.0,3.0,3.0,14.03205065703663,0.0,13.394238534743009,869.15
15.0,4.0,3.0,18.70807352463134,0.0,0.10942071278702088,860.15
16.0,4.0,3.0,18.708497098835288,0.0,1.6055819036735777,752.15
17.0,4.0,3.0,18.7089547969952,0.0,3.097984437190575,810.15
18.0,4.0,3.0,18.70937755907545,0.0,4.603384803794993,842.15
19.0,4.0,3.0,18.709799923678613,0.0,6.120090037109889,845.55
20.0,4.0,3.0,18.70834477306942,0.0,7.646595995201761,866.15
15.0,5.0,3.0,18.773402003877518,3.2979250839882193,0.0,857.15
16.0,5.0,3.0,20.13476181847095,2.324493441270992,0.0,859.15
17.0,5.0,3.0,21.496691679296195,1.3511070860902672,0.0,860.15
18.0,5.0,3.0,22.85734342728989,0.37767358686455554,0.0,862.15
19.0,5.0,3.0,23.37841231387379,0.0,0.5205809796738361,863.15
20.0,5.0,3.0,23.363761530539552,0.0,1.7454256194838895,864.15
15.0,6.0,3.0,18.44379015088487,6.878482368353274,0.0,853.15
16.0,6.0,3.0,19.804199016179695,5.905144313400107,0.0,855.15
17.0,6.0,3.0,21.1666657410647,4.931607270788557,0.0,857.15
18.0,6.0,3.0,22.527856828299804,3.958056553709741,0.0,859.15
19.0,6.0,3.0,23.889623540073423,2.9844921813591765,0.0,860.15
20.0,6.0,3.0,25.251918387870205,2.011095315824597,0.0,861.15
15.0,7.0,3.0,18.112271884517376,10.460137671973973,0.0,849.15
16.0,7.0,3.0,19.474315903900983,9.486726189040736,0.0,851.15
17.0,7.0,3.0,20.83545791838256,8.513111857316886,0.0,853.15
18.0,7.0,3.0,22.197181845644614,7.539665624484547,0.0,855.15
19.0,7.0,3.0,23.557590779251093,6.5660046014827,0.0,857.15
20.0,7.0,3.0,24.920428307710537,5.592330010979875,0.0,858.15
15.0,8.0,3.0,17.778876593308336,14.043048370396672,0.0,845.15
16.0,8.0,3.0,19.13958276044028,13.069579564626052,0.0,847.15
17.0,8.0,3.0,20.501248943737174,12.095904021691691,0.0,849.15
18.0,8.0,3.0,21.863461956128287,11.122372644127513,0.0,851.15
19.0,8.0,3.0,23.224401113999395,10.148638393644042,0.0,853.15
20.0,8.0,3.0,24.587777326501126,9.175072466993441,0.0,855.15
15.0,9.0,3.0,17.443752653176738,17.627520052430494,0.0,839.15
16.0,9.0,3.0,18.80552795054174,16.654011783929043,0.0,842.15
17.0,9.0,3.0,20.16767331419866,15.680263693909705,0.0,844.15
18.0,9.0,3.0,21.528547311116235,14.706680747577366,0.0,847.15
19.0,9.0,3.0,22.890010128323066,13.73289103225267,0.0,849.15
20.0,9.0,3.0,24.252060942219313,12.759266345435835,0.0,851.15
15.0,10.0,3.0,17.105964933219457,21.2146189909629,0.0,833.15
16.0,10.0,3.0,18.467465944930325,20.241050991269077,0.0,836.15
17.0,10.0,3.0,19.829226077025265,19.266562704361387,0.0,839.15
18.0,10.0,3.0,21.19061497291348,18.292757871292014,0.0,842.15
19.0,10.0,3.0,22.552556241786633,17.31908255992733,0.0,844.15
20.0,10.0,3.0,23.915130496907818,16.34523074175231,0.0,847.15
15.0,11.0,3.0,16.765132737742793,24.80299003136096,0.0,826.15
16.0,11.0,3.0,18.1267934588809,23.828149066421222,0.0,829.15
17.0,11.0,3.0,19.48771730773537,22.856033858579224,0.0,833.15
18.0,11.0,3.0,20.849576405546458,21.881050350104267,0.0,836.15
19.0,11.0,3.0,22.21207177814029,20.907014681892335,0.0,839.15
20.0,11.0,3.0,23.57325879338458,19.933845795481016,0.0,841.15
15.0,12.0,3.0,16.42034250906411,28.393380303296755,0.0,817.15
16.0,12.0,3.0,17.78190413146488,27.42092921495809,0.0,821.15
17.0,12.0,3.0,19.143138039183434,26.447510569658817,0.0,825.15
18.0,12.0,3.0,20.505539260560095,25.473125712257367,0.0,829.15
19.0,12.0,3.0,21.866637785027233,24.49959758664025,0.0,832.15
20.0,12.0,3.0,23.22833763867943,23.525107882516313,0.0,835.15
15.0,13.0,3.0,16.07079951131398,31.989446780443558,0.0,807.15
16.0,13.0,3.0,17.43228892555668,31.015708257557733,0.0,812.15
17.0,13.0,3.0,18.79360729054928,30.040941945556764,0.0,817.15
18.0,13.0,3.0,20.156506704489743,29.0690059092321,0.0,821.15
19.0,13.0,3.0,21.51810663105565,28.094174681015815,0.0,825.15
20.0,13.0,3.0,22.878444011560735,27.12024736686645,0.0,828.15
15.0,14.0,3.0,15.714985483147503,35.589279112060346,0.0,795.15
16.0,14.0,3.0,17.07639637949632,34.61614219387516,0.0,801.15
17.0,14.0,3.0,18.437829303872707,33.64196489175395,0.0,806.15
18.0,14.0,3.0,19.79875142671332,32.668689522817104,0.0,811.15
19.0,14.0,3.0,21.160849431264705,31.694441530414974,0.0,816.15
20.0,14.0,3.0,22.52168751626681,30.721094702310403,0.0,820.15
15.0,15.0,3.0,15.350837619176517,39.194787813167316,0.0,780.15
16.0,15.0,3.0,16.711759953403604,38.222197170396264,0.0,787.15
17.0,15.0,3.0,18.072927230523067,37.24862716817284,0.0,794.15
18.0,15.0,3.0,19.43415139603771,36.27407916324087,0.0,800.15
19.0,15.0,3.0,20.794869485597637,35.30230708035004,0.0,805.15
20.0,15.0,3.0,22.156207451417256,34.327680818583154,0.0,811.15
15.0,1.0,4.0,4.677349260650093,0.0,16.554120561764783,
16.0,1.0,4.0,4.67739749803693,0.0,18.106468014486808,
17.0,1.0,4.0,4.677251465352009,0.0,19.664198282212233,
18.0,1.0,4.0,4.677291028762929,0.0,21.22770543823175,
19.0,1.0,4.0,4.677330555210555,0.0,22.79531303005081,822.15
20.0,1.0,4.0,4.677361378231852,0.0,24.36882302586964,819.15
15.0,2.0,4.0,9.312050418260995,0.0,6.534246804679464,1097.55
16.0,2.0,4.0,9.343961147863467,0.0,11.26221101678213,1093.55
17.0,2.0,4.0,9.354655862921286,0.0,13.852458254736705,838.15
18.0,2.0,4.0,9.354566664685253,0.0,15.39298876538073,1065.15
19.0,2.0,4.0,9.354645851745675,0.0,16.9398501266274,1049.95
20.0,2.0,4.0,9.354556741438538,0.0,18.49290790013344,1034.72
15.0,3.0,4.0,13.915557932117684,0.0,4.639637205783989,834.15
16.0,3.0,4.0,13.90907922744719,0.0,5.8559741365022075,836.15
17.0,3.0,4.0,13.909840215627,0.0,7.0698628505055625,838.15
18.0,3.0,4.0,13.91602198431924,0.0,8.284865872581742,840.15
19.0,3.0,4.0,13.931284578548514,0.0,1.1023850481193918,1185.15
20.0,3.0,4.0,13.963262301664015,0.0,5.830371615090636,1170.55
15.0,4.0,4.0,18.70240190196448,0.0,0.11201846726893053,829.15
16.0,4.0,4.0,18.642047616560596,0.0,1.3779853613770152,831.15
17.0,4.0,4.0,18.597783225974847,0.0,2.6258238326512733,834.15
18.0,4.0,4.0,18.567688193583855,0.0,3.859191412837882,836.15
