Ni,Ti,Al,Ni3Ti,Laves,FCC
19.0,2.0,5.0,4.8232,0.0,7.5019
20.0,2.0,5.0,4.8395,0.0,8.143
15.0,3.0,5.0,7.2656,0.0,2.5979
16.0,3.0,5.0,7.2441,0.0,3.2629
17.0,3.0,5.0,7.2309,0.0,3.9192
18.0,3.0,5.0,7.225,0.0,4.5683
19.0,3.0,5.0,7.2255,0.0,5.2118
20.0,3.0,5.0,7.2315,0.0,5.8509
15.0,4.0,5.0,9.9165,0.0,0.058671
16.0,4.0,5.0,9.8385,0.0,0.7898
17.0,4.0,5.0,9.7772,0.0,1.5013
18.0,4.0,5.0,9.7304,0.0,2.196
19.0,4.0,5.0,9.696,0.0,2.8765
20.0,4.0,5.0,9.6726,0.0,3.5449
15.0,5.0,5.0,9.9295,1.7557,0.0
16.0,5.0,5.0,10.657,1.2398,0.0
17.0,5.0,5.0,11.384,0.72336,0.0
18.0,5.0,5.0,12.113,0.20643,0.0
19.0,5.0,5.0,12.362,0.0,0.31531
20.0,5.0,5.0,12.272,0.0,1.0625
15.0,6.0,5.0,9.7311,3.6522,0.0
16.0,6.0,5.0,10.457,3.1379,0.0
17.0,6.0,5.0,11.184,2.6232,0.0
18.0,6.0,5.0,11.911,2.1079,0.0
19.0,6.0,5.0,12.639,1.5921,0.0
20.0,6.0,5.0,13.368,1.0758,0.0
15.0,7.0,5.0,9.531,5.5444,0.0
16.0,7.0,5.0,10.256,5.0318,0.0
17.0,7.0,5.0,10.981,4.5187,0.0
18.0,7.0,5.0,11.707,4.0052,0.0
19.0,7.0,5.0,12.434,3.4911,0.0
20.0,7.0,5.0,13.162,2.9765,0.0
15.0,8.0,5.0,9.3286,7.4329,0.0
16.0,8.0,5.0,10.052,6.922,0.0
17.0,8.0,5.0,10.776,6.4106,0.0
18.0,8.0,5.0,11.501,5.8988,0.0
19.0,8.0,5.0,12.226,5.3864,0.0
20.0,8.0,5.0,12.953,4.8735,0.0
15.0,9.0,5.0,9.1229,9.3183,0.0
16.0,9.0,5.0,9.8449,8.8092,0.0
17.0,9.0,5.0,10.568,8.2996,0.0
18.0,9.0,5.0,11.291,7.7895,0.0
19.0,9.0,5.0,12.015,7.2789,0.0
20.0,9.0,5.0,12.74,6.7678,0.0
15.0,10.0,5.0,8.9125,11.202,0.0
16.0,10.0,5.0,9.6331,10.694,0.0
17.0,10.0,5.0,10.354,10.187,0.0
18.0,10.0,5.0,11.076,9.6785,0.0
19.0,10.0,5.0,11.799,9.1698,0.0
20.0,10.0,5.0,12.522,8.6607,0.0
15.0,11.0,5.0,8.6953,13.085,0.0
16.0,11.0,5.0,9.414,12.579,0.0
17.0,11.0,5.0,10.133,12.074,0.0
18.0,11.0,5.0,10.853,11.568,0.0
19.0,11.0,5.0,11.574,11.061,0.0
20.0,11.0,5.0,12.295,10.554,0.0
15.0,12.0,5.0,8.4675,14.97,0.0
16.0,12.0,5.0,9.1839,14.467,0.0
17.0,12.0,5.0,9.9007,13.964,0.0
18.0,12.0,5.0,10.618,13.46,0.0
19.0,12.0,5.0,11.336,12.956,0.0
20.0,12.0,5.0,11.959,12.485,0.10222
15.0,13.0,5.0,7.6655,17.053,0.60328
16.0,13.0,5.0,8.2395,16.6,0.75446
17.0,13.0,5.0,8.8139,16.148,0.90578
18.0,13.0,5.0,9.389,15.695,1.0572
19.0,13.0,5.0,9.9645,15.241,1.2088
20.0,13.0,5.0,10.541,14.787,1.3606
15.0,14.0,5.0,6.2588,19.339,1.856
16.0,14.0,5.0,6.8312,18.889,2.0075
17.0,14.0,5.0,7.4041,18.438,2.1592
18.0,14.0,5.0,7.9776,17.986,2.311
19.0,14.0,5.0,8.5516,17.535,2.4629
20.0,14.0,5.0,9.1261,17.083,2.615
15.0,15.0,5.0,4.8564,21.619,3.1049
16.0,15.0,5.0,5.4273,21.17,3.2567
17.0,15.0,5.0,5.9987,20.721,3.4087
18.0,15.0,5.0,6.5706,20.271,3.5608
19.0,15.0,5.0,7.1431,19.821,3.7131
20.0,15.0,5.0,7.7161,19.371,3.8655
15.0,1.0,6.0,2.0742,0.0,7.4388
16.0,1.0,6.0,2.0843,0.0,8.0649
17.0,1.0,6.0,2.0985,0.0,8.6883
18.0,1.0,6.0,2.1161,0.0,9.31
19.0,1.0,6.0,2.1366,0.0,9.9311
20.0,1.0,6.0,2.1594,0.0,10.553
15.0,2.0,6.0,4.4679,0.0,5.1963
16.0,2.0,6.0,4.4556,0.0,5.8439
17.0,2.0,6.0,4.4508,0.0,6.4837
18.0,2.0,6.0,4.4526,0.0,7.1167
19.0,2.0,6.0,4.4604,0.0,7.7441
20.0,2.0,6.0,4.4734,0.0,8.3671
15.0,3.0,6.0,6.9853,0.0,2.8149
16.0,3.0,6.0,6.9275,0.0,3.5156
17.0,3.0,6.0,6.8836,0.0,4.2001
18.0,3.0,6.0,6.8518,0.0,4.8707
