Ni,Ti,Al,Laves
18.0,12.0,6.0,28.299797611001026
19.0,12.0,6.0,27.420885375463637
20.0,12.0,6.0,26.540840572181658
15.0,13.0,6.0,35.365278990181466
16.0,13.0,6.0,34.48648627779525
17.0,13.0,6.0,33.608548588452535
18.0,13.0,6.0,32.72940477614013
19.0,13.0,6.0,31.849061550562148
20.0,13.0,6.0,30.971498821684097
15.0,14.0,6.0,39.79512493278504
16.0,14.0,6.0,38.91692283896913
17.0,14.0,6.0,38.03757570604218
18.0,14.0,6.0,37.158944938622156
19.0,14.0,6.0,36.27924398612159
20.0,14.0,6.0,35.4002624671916
15.0,15.0,6.0,44.22484952625227
16.0,15.0,6.0,43.34726218645557
17.0,15.0,6.0,42.46844189476373
18.0,15.0,6.0,41.5885563274695
19.0,15.0,6.0,40.70937812422046
20.0,15.0,6.0,39.83098842007805
15.0,1.0,7.0,0.0
16.0,1.0,7.0,0.0
17.0,1.0,7.0,0.0
18.0,1.0,7.0,0.0
19.0,1.0,7.0,0.0
20.0,1.0,7.0,0.0
15.0,2.0,7.0,0.0
16.0,2.0,7.0,0.0
17.0,2.0,7.0,0.0
18.0,2.0,7.0,0.0
19.0,2.0,7.0,0.0
20.0,2.0,7.0,0.0
15.0,3.0,7.0,0.0
16.0,3.0,7.0,0.0
17.0,3.0,7.0,0.0
18.0,3.0,7.0,0.0
19.0,3.0,7.0,0.0
20.0,3.0,7.0,0.0
15.0,4.0,7.0,0.0
16.0,4.0,7.0,0.0
17.0,4.0,7.0,0.0
18.0,4.0,7.0,0.0
19.0,4.0,7.0,0.0
20.0,4.0,7.0,0.0
15.0,5.0,7.0,3.416600199593877
16.0,5.0,7.0,2.441997504275084
17.0,5.0,7.0,1.4674643229738105
18.0,5.0,7.0,0.49294284241066966
19.0,5.0,7.0,0.0
20.0,5.0,7.0,0.0
15.0,6.0,7.0,7.117772820944252
16.0,6.0,7.0,6.238753290837729
17.0,6.0,7.0,5.359549197156842
18.0,6.0,7.0,4.480568530422852
19.0,6.0,7.0,3.6014068175952354
20.0,6.0,7.0,2.72226714412229
15.0,7.0,7.0,11.547522190421159
16.0,7.0,7.0,10.668436079013146
17.0,7.0,7.0,9.789387509219607
18.0,7.0,7.0,8.91033694810972
19.0,7.0,7.0,8.031112071360228
20.0,7.0,7.0,7.152098754957898
15.0,8.0,7.0,15.97733118877708
16.0,8.0,7.0,15.098241785454489
17.0,8.0,7.0,14.21913675742574
18.0,8.0,7.0,13.340047008613093
19.0,8.0,7.0,12.460972518470431
20.0,8.0,7.0,11.581890899680774
15.0,9.0,7.0,20.40658081699986
16.0,9.0,7.0,19.527450425697644
17.0,9.0,7.0,18.648912990848785
18.0,9.0,7.0,17.76980617783938
19.0,9.0,7.0,16.890678576127925
20.0,9.0,7.0,16.011597252712182
15.0,10.0,7.0,24.837352520332146
16.0,10.0,7.0,23.956871808903923
17.0,10.0,7.0,23.079071716207725
18.0,10.0,7.0,22.20016209026644
19.0,10.0,7.0,21.32005666743541
20.0,10.0,7.0,20.440738904041655
15.0,11.0,7.0,29.26604469921172
16.0,11.0,7.0,28.388119981885712
17.0,11.0,7.0,27.508980244433605
18.0,11.0,7.0,26.62868394530954
19.0,11.0,7.0,25.75111461351977
20.0,11.0,7.0,24.870448226823765
15.0,12.0,7.0,33.69653063807827
16.0,12.0,7.0,32.817232599606015
17.0,12.0,7.0,31.93871813181361
18.0,12.0,7.0,31.059041351116925
19.0,12.0,7.0,30.180147780665656
20.0,12.0,7.0,29.300036336008983
15.0,13.0,7.0,37.81279865811082
16.0,13.0,7.0,37.24614427836448
17.0,13.0,7.0,36.36827777312259
18.0,13.0,7.0,35.48924317533283
19.0,13.0,7.0,34.608974658505055
20.0,13.0,7.0,33.73143681169517
15.0,14.0,7.0,40.99209263802722
16.0,14.0,7.0,40.612625840564206
17.0,14.0,7.0,40.24138193499784
18.0,14.0,7.0,39.87624143843968
19.0,14.0,7.0,39.03954262448839
20.0,14.0,7.0,38.160633678186905
15.0,15.0,7.0,44.10651297371217
16.0,15.0,7.0,43.72916157418724
17.0,15.0,7.0,43.35987740470131
18.0,15.0,7.0,43.00060566985132
19.0,15.0,7.0,42.64954878070215
20.0,15.0,7.0,42.3046591343864
15.0,1.0,8.0,0.0
16.0,1.0,8.0,0.0
17.0,1.0,8.0,0.0
18.0,1.0,8.0,0.0
19.0,1.0,8.0,0.0
20.0,1.0,8.0,0.0
15.0,2.0,8.0,0.0
16.0,2.0,8.0,0.0
17.0,2.0,8.0,0.0
18.0,2.0,8.0,0.0
19.0,2.0,8.0,0.0
20.0,2.0,8.0,0.0
15.0,3.0,8.0,0.0
16.0,3.0,8.0,0.0
17.0,3.0,8.0,0.0
18.0,3.0,8.0,0.0
19.0,3.0,8.0,0.0
20.0,3.0,8.0,0.0
15.0,4.0,8.0,1.0181220518638825
16.0,4.0,8.0,0.1390432692120972
